                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.9655,                 3.8036,                  1.742,                 0.0155,                0.21729,                0.01251,                0.00585,                 2.3175,                 3.6025,                 1.3381,                0.00018,                0.00018,                0.00018
                      2,                 2.4172,                 2.8798,                 1.3484,                0.03367,                0.47196,                0.08086,                0.03718,                 2.0956,                 3.1455,                 1.1332,             0.00036495,             0.00036495,             0.00036495
                      3,                 2.2228,                 2.0686,                 1.1851,                0.03217,                0.45093,                0.03694,                0.01401,                 2.2452,                 2.9578,                 1.1673,             0.00053406,             0.00053406,             0.00053406
                      4,                 2.1104,                 1.8429,                 1.1661,                0.02817,                0.39486,                0.17026,                0.08061,                 1.7471,                 2.6381,                 1.0626,             0.00068734,             0.00068734,             0.00068734
                      5,                 1.9468,                  1.755,                 1.1807,                   0.04,                0.56075,                0.32607,                0.14712,                 1.8759,                 2.5325,                  1.102,             0.00082477,             0.00082477,             0.00082477
                      6,                 2.0065,                 1.7114,                 1.1523,                0.04283,                0.60047,                 0.3872,                0.21558,                 1.5637,                 2.3977,                 1.0418,             0.00094636,             0.00094636,             0.00094636
                      7,                 1.8777,                 1.5897,                 1.1296,                0.04555,                0.59346,                0.33321,                0.15479,                 1.6462,                 2.4379,                 1.0485,              0.0010521,              0.0010521,              0.0010521
                      8,                 2.1128,                 1.8702,                 1.1305,                0.44636,                0.25467,                0.21749,                0.08333,                 1.8312,                  2.561,                 1.1113,               0.001142,               0.001142,               0.001142
                      9,                 1.9064,                  1.671,                  1.145,                0.75894,                0.20597,                0.37793,                 0.1812,                 1.6566,                 2.2064,                 1.0784,              0.0012161,              0.0012161,              0.0012161
                     10,                 2.0445,                  1.617,                 1.1826,                0.71252,                 0.3271,                0.40727,                0.22508,                 1.6242,                 1.9157,                 1.0843,              0.0012743,              0.0012743,              0.0012743
                     11,                 1.8393,                 1.4804,                 1.1511,                0.67037,                0.29935,                0.37455,                0.20559,                 1.6455,                 1.9433,                 1.0663,               0.001208,               0.001208,               0.001208
                     12,                   1.83,                 1.5583,                 1.1556,                0.72825,                0.39953,                0.45723,                0.24157,                 1.6714,                 1.6548,                 1.0769,               0.001208,               0.001208,               0.001208
                     13,                 1.7935,                 1.4797,                   1.12,                0.68445,                0.48131,                0.50996,                0.27785,                 1.6349,                 1.2928,                 1.0856,              0.0011288,              0.0011288,              0.0011288
                     14,                 1.9635,                 1.7431,                 1.1105,                0.69284,                0.51636,                0.51396,                0.26964,                 1.6652,                 1.2323,                 1.1019,              0.0010496,              0.0010496,              0.0010496
                     15,                 2.0282,                 1.6789,                 1.1851,                0.68988,                0.51402,                0.47346,                0.23832,                 1.6921,                 1.2715,                 1.1061,              0.0009704,              0.0009704,              0.0009704
                     16,                 1.8131,                 1.7976,                 1.1615,                0.58855,                0.53738,                0.43933,                0.22168,                 1.6237,                 1.2882,                 1.0802,              0.0008912,              0.0008912,              0.0008912
                     17,                 1.7244,                 1.7223,                 1.1181,                0.59127,                0.55093,                0.45864,                0.24425,                 1.5498,                  1.354,                 1.0563,               0.000812,               0.000812,               0.000812
                     18,                 1.6912,                 1.6071,                 1.1191,                0.69148,                 0.5289,                0.52207,                0.29718,                 1.5109,                 1.2526,                 1.0441,              0.0007328,              0.0007328,              0.0007328
                     19,                 1.6966,                 1.5169,                 1.0956,                0.69631,                0.54643,                0.53572,                0.31138,                 1.5062,                 1.1962,                 1.0536,              0.0006536,              0.0006536,              0.0006536
                     20,                 1.7476,                 1.5924,                  1.115,                0.71136,                0.54206,                0.53795,                0.31869,                 1.4904,                 1.1698,                 1.0554,              0.0005744,              0.0005744,              0.0005744
                     21,                 1.6439,                 1.5013,                 1.1147,                0.72105,                 0.5375,                0.54562,                 0.3298,                 1.4769,                 1.1461,                  1.048,              0.0004952,              0.0004952,              0.0004952
                     22,                 1.6375,                 1.4136,                 1.1049,                0.74245,                0.54206,                 0.5468,                0.32455,                 1.4749,                 1.1358,                 1.0434,               0.000416,               0.000416,               0.000416
                     23,                 1.6411,                  1.432,                 1.0822,                0.67035,                0.57009,                0.53509,                0.31901,                 1.4609,                 1.1509,                  1.035,              0.0003368,              0.0003368,              0.0003368
                     24,                 1.6052,                 1.3981,                 1.1071,                0.65921,                0.56494,                0.53151,                0.31394,                 1.4511,                 1.1622,                 1.0291,              0.0002576,              0.0002576,              0.0002576
                     25,                 1.7174,                 1.4843,                 1.0987,                0.66931,                0.56308,                0.53583,                0.31409,                  1.453,                 1.1532,                 1.0265,              0.0001784,              0.0001784,              0.0001784
